607349,FL,PASCO COUNTY,0,73710,0,73710,73710,75253.19,0,3685.5,0,0,28.262924,-82.479866,Residential,Wood,1
384395,FL,PASCO COUNTY,0,392310,0,392310,392310,534891.15,0,19615.5,0,0,28.262924,-82.479866,Residential,Masonry,1
317684,FL,PASCO COUNTY,0,1628640,0,1628640,1628640,1631530.84,0,81432,0,0,28.2461,-82.4989,Residential,Masonry,4
985889,FL,PASCO COUNTY,0,85593.6,0,85593.6,85593.6,83418.84,0,0,0,0,28.2461,-82.4989,Residential,Wood,4
916219,FL,PASCO COUNTY,0,755325,0,755325,755325,604573.46,0,0,0,0,28.2461,-82.4989,Residential,Masonry,4
966733,FL,PASCO COUNTY,0,276120,0,276120,276120,452205.87,0,13806,0,0,28.23279,-82.46333,Residential,Wood,1
204312,FL,PASCO COUNTY,0,1024380,0,1024380,1024380,1463158.83,0,51219,0,0,28.200069,-82.505692,Residential,Masonry,3
880414,FL,PASCO COUNTY,0,1968660,0,1968660,1968660,3244095.75,0,98433,0,0,28.200069,-82.505692,Commercial,Reinforced Masonry,3
879548,FL,PASCO COUNTY,0,531900,0,531900,531900,621482.6,0,26595,0,0,28.200069,-82.505692,Residential,Masonry,3
724899,FL,PASCO COUNTY,0,324720,0,324720,324720,514707.18,0,16236,0,0,28.200069,-82.505692,Residential,Wood,3
434377,FL,PASCO COUNTY,0,1089434.12,0,0,1089434.12,1541802.02,0,0,0,0,28.3041,-82.50605,Residential,Masonry,3
840146,FL,PASCO COUNTY,0,619130.39,0,0,619130.39,487125.6,0,0,0,0,28.31217,-82.55431,Residential,Masonry,1
560286,FL,PASCO COUNTY,0,687947.78,0,0,687947.78,1158973.92,0,0,0,0,28.20185,-82.49166,Residential,Masonry,1
790849,FL,PASCO COUNTY,0,0,0,232200,232200,303055.83,0,0,0,0,28.296448,-82.499763,Residential,Wood,1
332864,FL,PASCO COUNTY,0,1920305.39,0,0,1920305.39,1343003.98,0,0,0,0,28.218821,-82.458267,Commercial,Reinforced Masonry,1
674480,FL,PASCO COUNTY,0,8612066.39,0,0,8612066.39,11160000,0,0,0,0,28.21823,-82.45994,Commercial,Reinforced Masonry,1
